,0,1,2,3
0,42377.5628708,42384.4766497,42391.5734295,42399.6443392
1,42407.110359,42413.8239488,42421.2637919,42429.4657605
2,42436.5795103,42443.2103528,42451.0005883,42459.136696
3,42465.9747699,42472.6661923,42480.7247294,42488.6449319
4,42495.3121603,42502.2098007,42510.3850157,42518.0083119
5,42524.6247104,42531.8401343,42539.9599316,42547.2629461
6,42553.9590173,42561.5359814,42569.4559379,42576.4581038
7,42583.3642479,42591.2644719,42598.893438,42605.653355
8,42612.8771423,42620.9922695,42628.2952012,42634.9139194
9,42642.5079026,42650.6895787,42657.6827127,42664.3012221
10,42672.2348548,42680.3271557,42687.0778265,42693.856382
11,42702.0126648,42709.8770949,42716.503861,42723.5803748
12,42731.7869362,42739.3243137,42745.9819219,42753.4260171
13,42761.5048819,42768.6797881,42775.5228357,42783.3146821
14,42791.1238767,42797.9808131,42805.1206895,42813.1654272
15,42820.62307,42827.2773746,42834.7556319,42842.9144011
16,42850.0112143,42856.6158637,42864.4045062,42872.5227703
17,42879.3225397,42886.0292355,42894.0483161,42901.9810477
18,42908.6046489,42915.535484,42923.6712196,42931.3094719
19,42937.9066408,42945.141033,42953.2573643,42960.552125
